-0.04,0.03,-0.27,0.13,-0.18,0.08999999999999986,-0.22,9.0,0.009999999999999787,-0.14,16.25,0.020000000000000018,-0.12,17.25,0.8599999999999999,-1.16,15.0,0.27,-1.08,15.0,-0.10000000000000009,-0.23,7.25
0.03,0.1,-0.0,0.13,0.01,0.010000000000000231,0.12,16.5,-0.04999999999999982,0.13,23.5,-0.1299999999999999,0.19,13.0,0.20000000000000018,-1.37,16.0,0.54,-1.15,11.75,0.1499999999999999,-1.09,18.5
0.16,0.02,-0.04,0.03,-0.03,0.6599999999999997,-0.44,7.75,-0.15000000000000036,0.02,7.0,-0.07000000000000028,0.09,5.25,0.7799999999999998,-1.11,10.75,0.9499999999999997,-1.09,9.75,0.1599999999999997,-0.97,17.25
0.19,0.17,0.01,0.14,-0.07,-0.18999999999999995,0.09,6.5,-0.08999999999999986,0.09,14.75,-0.06999999999999984,0.11,14.75,0.28000000000000025,-1.1,13.25,0.9700000000000002,-1.06,10.75,0.81,-1.04,12.5
0.17,0.04,-0.1,-0.05,-0.21,-0.050000000000000266,0.05,14.5,-0.08000000000000007,0.08,11.75,-0.08000000000000007,0.12,28.25,0.20999999999999996,-1.21,15.0,0.09999999999999964,-1.05,17.75,0.5699999999999998,-0.82,10.0
0.1,-0.03,-0.21,-0.14,-0.28,-0.11000000000000032,-0.06,11.5,-0.06000000000000005,0.0,11.75,-0.2400000000000002,0.11,4.75,0.29000000000000004,-1.06,15.5,0.1299999999999999,-1.06,17.5,0.9699999999999998,-1.01,9.75
0.06,-0.06,-0.28,-0.16,-0.31,-0.08000000000000007,-0.09,11.0,-0.040000000000000036,0.01,12.5,0.06000000000000005,0.05,6.75,0.9500000000000002,-1.12,9.5,0.31000000000000005,-1.04,15.25,0.7800000000000002,-1.03,10.25
0.08,-0.1,-0.22,-0.19,-0.24,-0.06000000000000005,0.19,11.5,-0.029999999999999805,0.23,13.0,0.06000000000000005,0.29,7.25,0.9900000000000002,-1.03,9.75,0.81,-1.02,10.75,0.5700000000000003,-0.97,9.5
0.21,-0.06,0.22,-0.16,0.13,-0.050000000000000266,0.26,17.75,-0.14000000000000012,0.27,9.25,0.040000000000000036,0.36,9.75,0.4099999999999997,-1.41,9.0,0.7799999999999998,-1.18,8.25,0.29000000000000004,-1.16,14.5
0.13,-0.05,-0.1,-0.06,-0.15,0.03000000000000025,0.09,29.75,0.040000000000000036,0.1,31.0,0.0900000000000003,0.18,23.25,0.9200000000000004,-1.08,12.75,0.7400000000000002,-0.87,7.75,-0.08999999999999986,-0.18,4.0
